id,status_group,translate
3627,non functional,2
4062,functional,0
15832,non functional,2
34741,functional,0
67097,functional,0
4437,functional,0
65817,functional,0
39559,non functional,2
54412,functional,0
25344,non functional,2
2301,non functional,2
32844,non functional,2
59874,non functional,2
50233,non functional,2
29639,functional,0
65584,functional,0
43808,non functional,2
6788,functional,0
51220,functional,0
16872,functional needs repair,1
66383,non functional,2
58599,functional,0
29383,non functional,2
36809,non functional,2
29753,functional,0
72112,non functional,2
34926,non functional,2
59898,functional needs repair,1
779,functional,0
68126,functional,0
48102,functional needs repair,1
24794,functional,0
29771,functional,0
29052,functional,0
4923,functional,0
38642,non functional,2
27079,functional,0
60111,functional,0
12478,non functional,2
67155,functional,0
54733,functional,0
45654,non functional,2
54678,functional,0
1439,functional,0
16313,functional,0
6735,functional,0
3328,non functional,2
1220,functional,0
57970,functional,0
44204,functional,0
63675,functional,0
40519,non functional,2
66382,functional,0
45386,non functional,2
43604,non functional,2
59053,functional,0
1030,non functional,2
52677,functional,0
1738,functional,0
19548,functional,0
30897,non functional,2
27523,functional,0
815,functional,0
14910,non functional,2
11184,functional,0
49071,functional needs repair,1
22000,functional,0
60074,functional needs repair,1
60374,non functional,2
25913,functional,0
6205,non functional,2
48390,non functional,2
3980,non functional,2
11905,functional,0
45320,non functional,2
31264,functional,0
16537,functional,0
9096,functional needs repair,1
33104,functional,0
11754,non functional,2
4147,non functional,2
53577,functional needs repair,1
42476,functional,0
68995,non functional,2
32255,non functional,2
8699,functional,0
1203,functional,0
70666,non functional,2
26293,non functional,2
44358,non functional,2
64687,non functional,2
71489,non functional,2
61994,functional,0
42306,non functional,2
67453,functional,0
11581,non functional,2
14123,functional needs repair,1
18266,functional,0
59263,functional,0
6387,functional,0
28359,non functional,2
17571,functional,0
53558,functional,0
66967,functional,0
72238,functional,0
12207,functional,0
68495,functional,0
19283,functional,0
38565,non functional,2
3522,functional,0
21927,non functional,2
60029,non functional,2
26851,functional,0
41968,functional,0
38379,functional,0
54983,functional,0
68333,functional,0
65944,non functional,2
5947,functional,0
42347,functional,0
67371,non functional,2
64048,functional,0
42733,non functional,2
4133,non functional,2
50124,non functional,2
69502,non functional,2
45876,functional,0
52402,non functional,2
24691,functional,0
67950,functional,0
19232,non functional,2
65266,functional,0
48401,non functional,2
53972,functional needs repair,1
59369,non functional,2
21737,functional,0
13211,non functional,2
63864,functional,0
30174,functional,0
70930,functional,0
36823,non functional,2
63746,functional,0
24331,functional,0
41174,functional,0
70070,functional needs repair,1
31332,functional,0
11011,functional,0
12245,functional,0
68493,non functional,2
5946,non functional,2
27334,non functional,2
60626,functional,0
69018,functional,0
49196,functional,0
26839,functional,0
58681,non functional,2
70584,functional,0
6758,functional,0
65476,functional needs repair,1
63687,non functional,2
49678,non functional,2
57948,non functional,2
42350,non functional,2
4526,non functional,2
51133,functional,0
70054,non functional,2
48080,functional,0
12552,functional,0
52707,functional,0
68660,non functional,2
64257,non functional,2
46719,non functional,2
17219,non functional,2
29658,functional,0
14992,non functional,2
56386,non functional,2
8757,functional,0
13727,non functional,2
22928,non functional,2
63748,non functional,2
42195,functional needs repair,1
36067,functional needs repair,1
54113,functional,0
59405,functional,0
62511,functional,0
23315,functional,0
40509,functional,0
45093,non functional,2
45889,non functional,2
71634,functional,0
15250,non functional,2
32245,functional,0
3777,functional,0
71658,non functional,2
48546,non functional,2
11957,functional needs repair,1
49862,non functional,2
38775,functional,0
66760,functional,0
61574,functional,0
57395,functional,0
21830,non functional,2
18225,non functional,2
25165,functional needs repair,1
67199,functional,0
22385,functional,0
4636,functional,0
35726,functional,0
6939,functional,0
31692,functional,0
47016,functional,0
53147,non functional,2
27776,functional,0
17242,functional,0
53218,non functional,2
60433,functional,0
48033,functional needs repair,1
58642,non functional,2
7420,non functional,2
11811,functional,0
54548,non functional,2
54848,non functional,2
32336,functional,0
26535,non functional,2
71856,functional,0
53518,non functional,2
11087,functional,0
14701,functional,0
11447,functional needs repair,1
23819,non functional,2
27069,non functional,2
21064,functional,0
36711,functional,0
37750,non functional,2
47102,functional,0
13734,functional,0
50708,non functional,2
38763,functional,0
38220,functional,0
5060,functional needs repair,1
29153,functional needs repair,1
53985,non functional,2
6519,functional,0
47117,non functional,2
20625,functional needs repair,1
46110,non functional,2
72474,functional,0
623,non functional,2
27561,functional,0
52067,non functional,2
6757,functional,0
54596,functional,0
67545,functional,0
51355,non functional,2
28846,functional,0
13685,functional,0
7863,non functional,2
55543,functional,0
63908,functional,0
23407,non functional,2
57452,functional,0
42339,functional,0
42491,functional,0
27128,non functional,2
28741,functional,0
7936,functional needs repair,1
40427,non functional,2
64144,functional,0
15188,functional,0
25220,functional,0
59031,non functional,2
69979,functional,0
25199,functional,0
70644,functional,0
7841,non functional,2
32699,non functional,2
25339,functional needs repair,1
53106,functional,0
39953,non functional,2
22679,functional,0
32012,functional,0
35007,non functional,2
19409,functional,0
54670,non functional,2
36702,functional,0
57293,functional,0
50001,non functional,2
6002,non functional,2
46231,functional,0
10342,functional,0
54599,functional,0
26302,non functional,2
24052,functional,0
11362,non functional,2
4554,functional,0
3873,non functional,2
1856,functional,0
19574,functional needs repair,1
3843,functional,0
71216,non functional,2
42487,non functional,2
19869,non functional,2
71891,functional,0
5875,non functional,2
63423,functional,0
38537,functional,0
880,functional,0
28306,non functional,2
69377,non functional,2
492,non functional,2
11641,non functional,2
69883,functional,0
8709,functional,0
8316,functional,0
32164,functional,0
49888,non functional,2
17809,non functional,2
71837,functional,0
36267,functional needs repair,1
64333,functional,0
39105,functional,0
13866,non functional,2
42943,functional,0
42959,functional needs repair,1
27736,functional needs repair,1
68179,functional,0
19672,functional,0
37322,functional needs repair,1
42431,functional,0
25766,non functional,2
70897,non functional,2
61759,functional,0
64031,functional,0
18488,functional,0
13501,non functional,2
26856,non functional,2
59448,functional,0
56471,functional,0
17287,functional,0
8080,functional,0
27799,functional,0
35558,functional,0
63978,non functional,2
45566,non functional,2
61039,functional,0
71895,functional,0
968,functional,0
3995,non functional,2
1604,functional needs repair,1
53188,functional needs repair,1
5562,functional,0
10976,non functional,2
18814,non functional,2
43732,functional,0
72282,functional needs repair,1
69101,functional needs repair,1
25947,functional,0
43149,non functional,2
50383,functional,0
49431,functional,0
45744,functional needs repair,1
18848,non functional,2
711,non functional,2
6044,non functional,2
2940,non functional,2
57305,non functional,2
58286,functional,0
66643,functional,0
12756,functional,0
15545,functional,0
47221,functional,0
2414,functional,0
11497,non functional,2
71236,functional,0
26174,non functional,2
14985,functional,0
41560,functional,0
26204,functional,0
21623,non functional,2
37757,non functional,2
59179,functional,0
1981,functional,0
72237,functional,0
51820,functional,0
23732,functional,0
47193,non functional,2
5464,non functional,2
57085,functional,0
59694,non functional,2
56708,functional,0
3091,functional,0
37039,non functional,2
13201,functional,0
10527,non functional,2
40666,non functional,2
47783,non functional,2
47756,non functional,2
66682,non functional,2
11388,functional,0
1605,non functional,2
10065,non functional,2
72943,non functional,2
38507,functional needs repair,1
54163,non functional,2
27790,functional,0
37114,functional,0
70237,functional,0
47075,non functional,2
61558,functional,0
28921,non functional,2
38293,functional,0
23288,non functional,2
50641,non functional,2
1074,non functional,2
68641,functional,0
40102,functional,0
51665,non functional,2
13739,functional,0
60171,functional,0
18825,functional,0
7942,non functional,2
60688,functional,0
9401,functional,0
58495,non functional,2
41985,functional needs repair,1
17569,functional,0
14438,functional,0
52390,non functional,2
37241,functional,0
37507,functional,0
2829,non functional,2
34664,functional,0
16672,functional,0
4778,functional,0
55567,functional,0
11871,non functional,2
27571,functional,0
13555,non functional,2
23465,functional needs repair,1
28822,non functional,2
50898,functional,0
53006,functional,0
56631,functional,0
46988,functional,0
4672,functional,0
35778,non functional,2
70424,non functional,2
58389,non functional,2
11695,non functional,2
37915,non functional,2
65995,functional,0
8988,functional,0
12598,functional,0
34130,non functional,2
28032,functional,0
72055,functional needs repair,1
14727,functional,0
7784,non functional,2
44120,functional,0
6424,functional,0
146,functional,0
56277,functional,0
60410,functional,0
61169,functional,0
22244,non functional,2
61060,functional,0
33006,functional,0
6988,functional,0
23156,non functional,2
54772,non functional,2
19362,functional,0
60535,functional,0
54055,functional,0
6171,functional,0
48519,non functional,2
33946,non functional,2
68894,functional,0
36606,functional,0
72553,functional,0
13987,non functional,2
20639,non functional,2
21896,functional,0
25354,functional,0
24752,functional,0
7691,functional,0
61992,non functional,2
19080,functional,0
34305,non functional,2
36513,functional,0
41986,functional,0
36255,non functional,2
28016,functional,0
55033,functional,0
18928,functional,0
44976,functional,0
7296,functional,0
10085,functional needs repair,1
15643,functional,0
1817,functional,0
15975,non functional,2
22396,non functional,2
2547,functional,0
24638,functional needs repair,1
47697,non functional,2
25000,functional,0
52461,non functional,2
49160,non functional,2
42590,non functional,2
65061,non functional,2
25243,non functional,2
30320,functional,0
69136,functional,0
28993,functional,0
25367,functional,0
53109,non functional,2
18169,functional,0
18729,functional,0
40750,non functional,2
16363,non functional,2
22402,functional needs repair,1
52686,functional,0
50841,functional,0
12656,non functional,2
21315,functional,0
32543,functional,0
73274,non functional,2
20697,non functional,2
5009,functional,0
19781,non functional,2
56226,non functional,2
69168,functional,0
26962,functional,0
43964,functional,0
72849,non functional,2
15974,non functional,2
5071,functional,0
44480,functional,0
54327,non functional,2
55560,functional,0
5563,functional,0
44490,non functional,2
4379,non functional,2
58526,functional,0
41227,non functional,2
9069,functional,0
32952,non functional,2
42342,non functional,2
5455,functional,0
39280,non functional,2
43079,non functional,2
46510,non functional,2
17088,functional,0
61476,functional,0
44578,non functional,2
46507,functional,0
38201,functional,0
15306,functional,0
20347,non functional,2
72772,non functional,2
52991,non functional,2
68844,non functional,2
16923,functional,0
22283,functional,0
54056,functional,0
3968,functional,0
33094,non functional,2
20020,functional,0
25712,non functional,2
30261,non functional,2
38474,functional,0
36914,functional,0
21383,functional,0
45754,non functional,2
61131,functional needs repair,1
11961,functional,0
59071,functional,0
458,functional,0
1678,functional,0
32502,functional,0
14763,non functional,2
41826,functional,0
17360,non functional,2
62435,non functional,2
60873,functional,0
61750,functional,0
47384,functional,0
11570,non functional,2
5769,functional,0
41064,functional,0
73337,functional needs repair,1
2296,functional,0
30758,functional,0
11249,functional,0
8975,non functional,2
15697,non functional,2
55516,functional,0
68770,functional,0
34340,functional needs repair,1
73545,functional,0
21946,functional,0
20011,functional,0
12096,non functional,2
52980,non functional,2
41433,non functional,2
21810,non functional,2
8064,non functional,2
72386,functional,0
6948,functional,0
61190,functional,0
29182,non functional,2
5277,functional,0
21792,non functional,2
34375,functional,0
26402,non functional,2
65213,non functional,2
34298,functional,0
72359,non functional,2
19234,non functional,2
1408,non functional,2
60705,non functional,2
19262,non functional,2
61177,non functional,2
15666,functional needs repair,1
11352,functional,0
19595,functional,0
2523,functional,0
51714,functional,0
47206,functional,0
46752,functional needs repair,1
54871,non functional,2
30036,functional,0
24034,functional,0
7334,non functional,2
70461,functional,0
74188,non functional,2
52643,non functional,2
30990,non functional,2
20637,functional,0
52547,non functional,2
15529,functional,0
48505,non functional,2
5968,functional,0
17278,non functional,2
55164,functional,0
21952,non functional,2
30140,non functional,2
23296,functional,0
59327,functional,0
34823,functional,0
13244,functional needs repair,1
14675,functional,0
36360,functional,0
59257,functional,0
68473,functional,0
6592,non functional,2
39088,functional,0
15044,functional,0
45312,non functional,2
25635,functional,0
3246,non functional,2
72352,functional,0
2427,functional,0
15178,functional,0
32145,functional,0
38563,non functional,2
57980,non functional,2
58115,non functional,2
6905,functional,0
38261,non functional,2
46317,non functional,2
47744,functional,0
4674,non functional,2
7464,non functional,2
54386,functional,0
58753,non functional,2
8734,functional,0
20205,non functional,2
57641,functional,0
3215,non functional,2
20872,functional,0
34554,functional,0
9793,non functional,2
43016,non functional,2
4435,functional,0
32760,functional,0
11879,functional,0
10835,functional,0
24198,non functional,2
14783,functional,0
49627,functional,0
16898,functional,0
18730,non functional,2
51370,non functional,2
42001,functional,0
45954,functional,0
4072,functional,0
25132,functional,0
37522,functional,0
9850,functional,0
11736,functional,0
72024,functional,0
34272,functional,0
27733,functional,0
19274,functional,0
44507,functional needs repair,1
70026,non functional,2
21745,functional,0
47134,functional,0
47471,non functional,2
33789,functional,0
48621,non functional,2
68054,non functional,2
50879,functional,0
60376,functional,0
27378,non functional,2
42383,functional,0
74085,functional,0
55074,functional,0
46138,functional,0
27695,functional,0
30098,functional,0
25576,functional,0
10479,functional,0
59522,non functional,2
57162,non functional,2
17413,functional,0
2080,functional,0
64577,functional,0
28942,functional,0
8686,non functional,2
9182,functional,0
20207,non functional,2
16679,functional,0
11991,non functional,2
2484,non functional,2
58277,non functional,2
51371,non functional,2
32063,functional,0
69226,functional,0
47870,functional,0
3634,functional,0
7061,functional needs repair,1
46652,functional,0
59430,non functional,2
3948,functional,0
21067,functional,0
31713,non functional,2
19346,functional,0
1775,functional,0
25178,functional,0
30241,functional,0
31034,functional,0
33553,functional,0
53697,functional,0
13285,functional,0
38383,functional,0
19061,non functional,2
32551,functional,0
21065,functional,0
62237,non functional,2
29950,non functional,2
64684,non functional,2
6081,functional,0
3640,non functional,2
69862,non functional,2
14082,non functional,2
71302,non functional,2
11549,non functional,2
5116,non functional,2
66603,functional,0
20685,non functional,2
44654,non functional,2
65214,functional,0
19542,non functional,2
20122,non functional,2
15760,functional,0
69542,functional,0
8263,functional,0
66753,non functional,2
64690,non functional,2
48178,non functional,2
55522,functional,0
38157,functional,0
44506,non functional,2
57174,functional,0
46378,functional,0
58390,functional,0
25232,functional,0
57258,functional,0
20382,non functional,2
26220,non functional,2
89,non functional,2
16438,non functional,2
11416,non functional,2
7221,non functional,2
20028,functional,0
59420,functional,0
32185,functional needs repair,1
9770,non functional,2
45510,non functional,2
14924,non functional,2
52979,functional,0
5291,functional,0
46549,non functional,2
45439,non functional,2
69379,functional,0
30775,non functional,2
40847,non functional,2
26627,functional,0
66498,functional,0
8465,functional,0
782,non functional,2
62372,functional needs repair,1
18829,non functional,2
67735,non functional,2
28909,functional,0
44269,non functional,2
5415,functional,0
5759,non functional,2
22936,functional,0
66423,non functional,2
38140,non functional,2
60313,non functional,2
10242,non functional,2
46865,non functional,2
5589,non functional,2
21141,functional,0
32361,functional,0
25692,functional,0
30213,functional,0
34176,non functional,2
18875,non functional,2
19102,functional,0
51699,functional,0
63993,functional needs repair,1
53761,functional,0
73367,functional,0
50957,non functional,2
23014,non functional,2
66976,functional,0
52436,functional,0
33848,functional needs repair,1
73056,functional needs repair,1
3402,functional,0
65763,functional,0
33725,functional,0
66518,functional,0
13536,functional,0
29378,non functional,2
27291,non functional,2
59249,functional,0
4841,non functional,2
14102,functional,0
37723,non functional,2
20279,functional needs repair,1
16855,functional,0
30106,functional,0
48019,non functional,2
48536,non functional,2
37967,non functional,2
3236,non functional,2
55345,functional,0
10355,non functional,2
41454,functional,0
1741,functional,0
63429,non functional,2
42642,functional,0
65474,functional,0
9937,functional needs repair,1
4821,functional,0
18787,functional,0
57556,non functional,2
57950,non functional,2
40320,functional,0
59704,functional,0
19257,functional,0
25248,functional needs repair,1
41336,non functional,2
20182,non functional,2
52629,non functional,2
7897,non functional,2
71021,functional,0
31727,functional,0
37557,functional,0
36547,non functional,2
53864,non functional,2
7229,non functional,2
13315,non functional,2
10465,non functional,2
32508,non functional,2
24543,functional,0
11916,functional,0
23866,functional,0
11191,functional,0
17596,functional,0
19273,non functional,2
43652,functional,0
68467,functional,0
48901,functional,0
64046,functional needs repair,1
33622,functional,0
68432,functional,0
62247,functional needs repair,1
50443,non functional,2
74236,functional,0
1347,non functional,2
55447,non functional,2
16362,functional,0
19344,non functional,2
4295,functional,0
22881,non functional,2
11010,functional,0
43140,non functional,2
49775,functional,0
34482,non functional,2
72330,functional,0
13625,functional,0
5309,functional,0
40563,non functional,2
50709,functional,0
2834,non functional,2
30624,non functional,2
55188,non functional,2
67538,functional,0
61508,non functional,2
39621,functional,0
12268,functional,0
55253,functional,0
58598,functional needs repair,1
17659,non functional,2
54610,non functional,2
57454,functional,0
60348,non functional,2
42980,functional,0
66722,functional,0
71813,non functional,2
44200,non functional,2
57826,functional,0
9521,functional,0
63061,non functional,2
12240,functional,0
7440,functional,0
63483,functional,0
21939,functional,0
36280,functional,0
6354,functional,0
46823,non functional,2
5250,functional,0
72255,non functional,2
2004,functional,0
2628,functional,0
66328,functional,0
11943,functional,0
44469,non functional,2
67908,functional,0
28644,functional,0
35405,functional,0
26072,non functional,2
12040,functional,0
73528,non functional,2
55925,functional,0
16166,functional needs repair,1
5813,functional needs repair,1
7866,functional,0
54862,non functional,2
48436,non functional,2
2756,functional,0
44054,functional,0
40419,functional,0
26897,non functional,2
8126,functional,0
42971,functional,0
66050,functional,0
29501,functional,0
37269,functional,0
45875,functional,0
51595,functional,0
8814,functional,0
30978,functional,0
27909,non functional,2
29078,functional,0
9452,functional,0
56080,functional,0
18193,functional,0
74098,non functional,2
50311,functional,0
46277,functional,0
43431,functional,0
60272,functional,0
59728,functional,0
36888,functional,0
39005,functional,0
46499,non functional,2
14652,non functional,2
40154,functional,0
26599,functional,0
43011,functional needs repair,1
43623,functional,0
25096,non functional,2
52622,functional,0
24803,functional,0
12449,functional,0
51193,non functional,2
63936,non functional,2
41724,non functional,2
17939,functional,0
19026,functional,0
61342,functional,0
70420,functional needs repair,1
32528,non functional,2
26603,functional,0
31672,functional,0
7856,non functional,2
59436,non functional,2
58058,functional,0
72595,non functional,2
32983,functional,0
49240,non functional,2
66996,functional,0
54975,functional,0
7302,non functional,2
3348,functional,0
65041,functional,0
35761,non functional,2
19244,functional,0
5163,non functional,2
24425,functional,0
53230,non functional,2
36453,non functional,2
31808,functional,0
50581,non functional,2
55387,non functional,2
404,non functional,2
26032,functional,0
18382,functional,0
70718,functional,0
22677,non functional,2
69253,functional,0
70361,non functional,2
55650,functional,0
66859,functional,0
36603,functional,0
58473,non functional,2
69847,non functional,2
21267,non functional,2
27607,non functional,2
59507,non functional,2
19091,non functional,2
53537,functional,0
2744,functional,0
6337,functional,0
52478,non functional,2
32103,functional,0
58963,functional,0
35230,non functional,2
12928,functional,0
56501,functional,0
51609,non functional,2
2711,functional,0
71889,non functional,2
1927,non functional,2
36380,non functional,2
69356,non functional,2
53371,functional,0
64719,functional,0
43725,non functional,2
23962,functional,0
30010,functional,0
53410,functional needs repair,1
39444,non functional,2
12696,functional,0
61141,non functional,2
61217,functional,0
17795,functional,0
38936,functional,0
21685,non functional,2
8575,non functional,2
43501,non functional,2
73746,non functional,2
31106,non functional,2
41574,non functional,2
12811,functional,0
6011,functional,0
50675,functional,0
54036,functional,0
2091,functional,0
38619,functional,0
69773,non functional,2
14437,functional needs repair,1
30131,non functional,2
66113,non functional,2
33224,functional,0
6854,non functional,2
55077,functional,0
54,non functional,2
40354,non functional,2
26185,functional,0
1737,functional,0
60194,functional,0
66346,functional,0
6711,functional,0
62749,non functional,2
8241,functional,0
50713,non functional,2
19318,functional,0
43831,non functional,2
2289,non functional,2
15846,functional,0
34312,functional,0
58337,non functional,2
34162,non functional,2
59560,functional,0
13831,non functional,2
30401,functional needs repair,1
27028,functional,0
55838,functional,0
71800,functional,0
42774,functional,0
15048,non functional,2
162,non functional,2
1073,non functional,2
12089,functional,0
12538,functional,0
31636,functional,0
33153,non functional,2
549,non functional,2
19015,functional,0
4392,functional needs repair,1
29192,non functional,2
63271,non functional,2
54980,non functional,2
30026,functional needs repair,1
63769,functional,0
11198,non functional,2
56074,non functional,2
46656,non functional,2
27049,functional,0
56939,non functional,2
5644,functional,0
24302,functional,0
33084,non functional,2
59428,non functional,2
73962,non functional,2
26797,functional,0
60330,functional,0
50388,non functional,2
42684,non functional,2
7064,functional,0
36602,non functional,2
70730,non functional,2
48449,functional,0
21602,non functional,2
61370,non functional,2
57990,functional,0
39211,functional,0
49973,non functional,2
36481,non functional,2
43968,functional,0
13358,functional,0
5280,functional needs repair,1
7548,functional,0
38693,functional,0
61575,functional,0
50509,functional,0
15627,functional,0
60226,functional,0
28167,functional,0
23803,functional needs repair,1
20008,functional,0
53910,functional,0
9718,non functional,2
28807,non functional,2
60543,functional,0
18127,functional,0
68633,functional,0
989,functional needs repair,1
30073,non functional,2
10053,functional,0
34493,non functional,2
13726,non functional,2
49121,non functional,2
28288,functional,0
62839,non functional,2
44381,functional,0
32975,non functional,2
60941,functional,0
66230,functional,0
27548,non functional,2
37655,non functional,2
62761,non functional,2
46358,non functional,2
73565,functional,0
14825,non functional,2
68158,functional,0
64247,functional,0
35247,functional,0
38862,functional needs repair,1
10418,functional,0
56227,non functional,2
